number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,state
18,0.35354780937430913,2025-11-09 00:18:05.984080,2025-11-09 00:18:16.900630,0 days 00:00:10.916550,manhattan,15,COMPLETE
46,0.3532075443942069,2025-11-09 00:24:09.680900,2025-11-09 00:24:21.695517,0 days 00:00:12.014617,manhattan,14,COMPLETE
26,0.35299318603226937,2025-11-09 00:19:35.733053,2025-11-09 00:19:46.662874,0 days 00:00:10.929821,manhattan,26,COMPLETE
28,0.35299318603226937,2025-11-09 00:19:57.566786,2025-11-09 00:20:08.332605,0 days 00:00:10.765819,manhattan,26,COMPLETE
44,0.35297320264506626,2025-11-09 00:23:38.289583,2025-11-09 00:23:50.729696,0 days 00:00:12.440113,manhattan,13,COMPLETE
41,0.3528745144560941,2025-11-09 00:23:03.109457,2025-11-09 00:23:14.680754,0 days 00:00:11.571297,manhattan,27,COMPLETE
32,0.3528745144560941,2025-11-09 00:20:52.502710,2025-11-09 00:21:05.997717,0 days 00:00:13.495007,manhattan,27,COMPLETE
34,0.3528488714369411,2025-11-09 00:21:19.902305,2025-11-09 00:21:32.022258,0 days 00:00:12.119953,manhattan,28,COMPLETE
43,0.3528488714369411,2025-11-09 00:23:26.653779,2025-11-09 00:23:38.289583,0 days 00:00:11.635804,manhattan,28,COMPLETE
22,0.35184359484837086,2025-11-09 00:18:51.345464,2025-11-09 00:19:02.556829,0 days 00:00:11.211365,manhattan,21,COMPLETE
19,0.35178844105664525,2025-11-09 00:18:16.900630,2025-11-09 00:18:27.837041,0 days 00:00:10.936411,manhattan,17,COMPLETE
49,0.35175216330533526,2025-11-09 00:24:57.764453,2025-11-09 00:25:20.666988,0 days 00:00:22.902535,manhattan,22,COMPLETE
30,0.3516859636213219,2025-11-09 00:20:26.960872,2025-11-09 00:20:38.382313,0 days 00:00:11.421441,manhattan,30,COMPLETE
23,0.3515185340795619,2025-11-09 00:19:02.557826,2025-11-09 00:19:13.749631,0 days 00:00:11.191805,manhattan,19,COMPLETE
25,0.3515185340795619,2025-11-09 00:19:24.682611,2025-11-09 00:19:35.732107,0 days 00:00:11.049496,manhattan,19,COMPLETE
31,0.35151712982874095,2025-11-09 00:20:38.382313,2025-11-09 00:20:52.499617,0 days 00:00:14.117304,manhattan,24,COMPLETE
20,0.3505899510372947,2025-11-09 00:18:27.838037,2025-11-09 00:18:39.423522,0 days 00:00:11.585485,manhattan,33,COMPLETE
21,0.3496088974194273,2025-11-09 00:18:39.423522,2025-11-09 00:18:51.344466,0 days 00:00:11.920944,manhattan,34,COMPLETE
39,0.3475218964655777,2025-11-09 00:22:39.117395,2025-11-09 00:22:50.974017,0 days 00:00:11.856622,manhattan,38,COMPLETE
33,0.34703024190585907,2025-11-09 00:21:05.998706,2025-11-09 00:21:19.901309,0 days 00:00:13.902603,manhattan,39,COMPLETE
48,0.34662959631642615,2025-11-09 00:24:42.339907,2025-11-09 00:24:57.762459,0 days 00:00:15.422552,manhattan,7,COMPLETE
42,0.3428330088926625,2025-11-09 00:23:14.681746,2025-11-09 00:23:26.652080,0 days 00:00:11.970334,manhattan,48,COMPLETE
27,0.3420928099522047,2025-11-09 00:19:46.663983,2025-11-09 00:19:57.565790,0 days 00:00:10.901807,manhattan,53,COMPLETE
24,0.33946275105680396,2025-11-09 00:19:13.749631,2025-11-09 00:19:24.681614,0 days 00:00:10.931983,manhattan,5,COMPLETE
35,0.33628410423497734,2025-11-09 00:21:32.023254,2025-11-09 00:21:43.926708,0 days 00:00:11.903454,manhattan,65,COMPLETE
14,0.3330663921743164,2025-11-09 00:17:14.511563,2025-11-09 00:17:16.315326,0 days 00:00:01.803763,minkowski,14,COMPLETE
15,0.3328672893547012,2025-11-09 00:17:16.316323,2025-11-09 00:17:18.092256,0 days 00:00:01.775933,minkowski,15,COMPLETE
7,0.3296057922491639,2025-11-09 00:16:36.516875,2025-11-09 00:16:38.082290,0 days 00:00:01.565415,minkowski,8,COMPLETE
40,0.3288779456715161,2025-11-09 00:22:50.975016,2025-11-09 00:23:03.109457,0 days 00:00:12.134441,manhattan,75,COMPLETE
1,0.32523769183614726,2025-11-09 00:15:25.843589,2025-11-09 00:15:27.625641,0 days 00:00:01.782052,minkowski,25,COMPLETE
12,0.3252023847764343,2025-11-09 00:17:10.213239,2025-11-09 00:17:12.324990,0 days 00:00:02.111751,minkowski,23,COMPLETE
10,0.3248843827889794,2025-11-09 00:17:05.517942,2025-11-09 00:17:07.466694,0 days 00:00:01.948752,minkowski,6,COMPLETE
9,0.3243603085053349,2025-11-09 00:17:03.285350,2025-11-09 00:17:05.516924,0 days 00:00:02.231574,minkowski,26,COMPLETE
11,0.32357958810504567,2025-11-09 00:17:07.467658,2025-11-09 00:17:10.212243,0 days 00:00:02.744585,minkowski,33,COMPLETE
5,0.3201722514354286,2025-11-09 00:16:22.709403,2025-11-09 00:16:34.836918,0 days 00:00:12.127515,manhattan,83,COMPLETE
13,0.3187430181310448,2025-11-09 00:17:12.325987,2025-11-09 00:17:14.510401,0 days 00:00:02.184414,minkowski,44,COMPLETE
6,0.31790154241315394,2025-11-09 00:16:34.837927,2025-11-09 00:16:36.515872,0 days 00:00:01.677945,minkowski,46,COMPLETE
2,0.31583932430319495,2025-11-09 00:15:27.626637,2025-11-09 00:15:39.757452,0 days 00:00:12.130815,manhattan,91,COMPLETE
36,0.3121014590083678,2025-11-09 00:21:43.926708,2025-11-09 00:21:55.842356,0 days 00:00:11.915648,manhattan,99,COMPLETE
29,0.27913888601551246,2025-11-09 00:20:08.333600,2025-11-09 00:20:26.960872,0 days 00:00:18.627272,chebyshev,43,COMPLETE
17,0.2763668082803174,2025-11-09 00:17:46.795308,2025-11-09 00:18:05.983077,0 days 00:00:19.187769,chebyshev,55,COMPLETE
47,0.2714064721793698,2025-11-09 00:24:21.695517,2025-11-09 00:24:42.338897,0 days 00:00:20.643380,chebyshev,13,COMPLETE
3,0.27083494831024446,2025-11-09 00:15:39.758450,2025-11-09 00:15:59.238276,0 days 00:00:19.479826,chebyshev,63,COMPLETE
37,0.26860280405459946,2025-11-09 00:21:55.843353,2025-11-09 00:22:15.566249,0 days 00:00:19.722896,chebyshev,11,COMPLETE
0,0.2651015019628663,2025-11-09 00:15:04.373656,2025-11-09 00:15:25.843589,0 days 00:00:21.469933,chebyshev,69,COMPLETE
8,0.1688231066627689,2025-11-09 00:16:38.083286,2025-11-09 00:17:03.282360,0 days 00:00:25.199074,cosine,11,COMPLETE
45,0.1688231066627689,2025-11-09 00:23:50.729696,2025-11-09 00:24:09.679929,0 days 00:00:18.950233,cosine,11,COMPLETE
16,0.15651030905581353,2025-11-09 00:17:18.094250,2025-11-09 00:17:46.789250,0 days 00:00:28.695000,cosine,38,COMPLETE
38,0.15071544387462243,2025-11-09 00:22:15.567246,2025-11-09 00:22:39.116399,0 days 00:00:23.549153,cosine,60,COMPLETE
4,0.14797675694138696,2025-11-09 00:15:59.240270,2025-11-09 00:16:22.700907,0 days 00:00:23.460637,cosine,75,COMPLETE
